25時ミク,25-ji miku
沢渡真琴,sawatari makoto
沙耶,saya (saya no uta)
サヤカ（サルゲッチュ）,sayaka (saru getchu)
小夜左文字,sayo samonji
Sayori（Doki・Doki・Literature・Club）,sayori (doki doki literature club)
早柚（原神）,sayu (genshin impact)
サザキ・カオルコ,sazaki kaoruko
漩涡（艦隊これくしょん）,sazanami (kancolle)
斯坎普（艦隊これくしょん）,scamp (kancolle)
Scar（Lion・King）,scar (the lion king)
Scaramouche（原神）,scaramouche (genshin impact)
Scarle・Yonaguni,scarle yonaguni
紅蓮（勝利の女神:NIKKE）,scarlet (nikke)
ショウジョウトキ,scarlet ibis (kemono friends)
Scarlet・Witch（Marvel）,scarlet witch (marvel)
スカサハ（Fate）,scathach (fate)
スカサハ（水着アサシン）（Fate）,scathach (swimsuit assassin) (fate)
スカサハ＝スカディ（Fate）,scathach skadi (fate)
スカサハ＝スカディ（水着ルーラー）（Fate）,scathach skadi (swimsuit ruler) (fate)
ジュカイン（ポケモン）,sceptile (pokemon)
シェゾ・ウィグィィ,schezo wegey
学者,scholar (final fantasy)
シュヴァルツ,schwarz (arknights)
西洛可（艦隊これくしょん）,scirocco (kancolle)
ヒバニー,scorbunny
海港姫（艦隊これくしょん）,seaport princess
ゼーレ（崩壊：スターレイル）,seele (honkai  star rail)
ゼーレ,seele vollerei
ゼーレ・フェレライ（死生の律者）,seele vollerei (herrscher of rebirth)
Seele・Vollerei（Starchasm・Nyx）,seele vollerei (starchasm nyx)
彼岸双生,seele vollerei (stygian nymph)
Seele・Vollerei（Swallowtail・Phantasm）,seele vollerei (swallowtail phantasm)
Seeu,seeu
清少納言（Fate）,sei shounagon (fate)
聖娅（ブルーアーカイブ）,seia (blue archive)
清蘭（東方Project）,seiran (touhou)
セイレーン（スイートプリキュア）,seiren (suite precure)
セイウンスカイ（ウマ娘）,seiun sky (umamusume)
関裕美（アイドルマスター）,seki hiromi
赤蛮奇（東方Project）,sekibanki
Sekine・Shiori（Angel Beats!）,sekine shiori (angel beats!)
堰代ミコ,sekishiro mico
Selen・Tatsuki,selen tatsuki
幻奏,selena (pgr)
ミヅキ（トレーナー）,selene (pokemon)
Selim・Bradley（鋼の錬金術師）,selim bradley (fullmetal alchemist)
キヌ,selkie (fire emblem)
セルフィ・ティルミット,selphie tilmitt
セミラミス（Fate）,semiramis (fate)
セン（グラブル）,sen (granblue fantasy)
仙台（艦隊これくしょん）,sendai (kancolle)
仙台博麗巫女（東方Project）,sendai hakurei no miko
仙台改二（艦隊これくしょん）,sendai kai ni (kancolle)
千石撫子（〈物語〉シリーズ）,sengoku nadeko
戦場原滝（〈物語〉シリーズ）,senjougahara hitagi
千川千尋（アイドルマスター）,senkawa chihiro
鮮血,senketsu
仙狐さん,senko (sewayaki kitsune no senko-san)
アニメ先生（ブルーアーカイブ）,sensei (blue archive the animation)
先生（ブルーアーカイブ）,sensei (blue archive)
センシ,senshi (dungeon meshi)
千斗いすず,sento isuzu
オタチ,sentret
セフィロス,sephiroth
Seraphine（リーグ・オブ・レジェンド）,seraphine (league of legends)
セレナ（トレーナー）,serena (pokemon)
セレナ（遊戯王ARC-V）,serena (yu-gi-oh!)
ゼーリエ,serie (sousou no frieren)
芹香（ブルーアーカイブ）,serika (blue archive)
芹香（水着）（ブルーアーカイブ）,serika (swimsuit) (blue archive)
鷲見セリナ,serina (blue archive)
芹沢朝日（アイドルマスター）,serizawa asahi
芹沢千香瑠,serizawa chikaru
Sernia・Iori・Flameheart,sernia iori flameheart
サーバル,serval (kemono friends)
殺生丸,sesshoumaru
殺生院キアラ（リリィ）（Fate/Grand Order）,sessyoin kiara (lily)
キアラポリス,sessyoin kiara (swimsuit mooncancer) (second ascension)
瀬田薰（アイドルマスター）,seta kaoru
Sett（リーグ・オブ・レジェンド）,sett (league of legends)
セレナ（ファイアーエムブレム）,severa (fire emblem)
SF-A2開発コードmiki,sf-a2 miki
シャドウチェイサー,shadow chaser (ragnarok online)
シャドウ・ザ・ヘッジホッグ,shadow the hedgehog
シャルティア・ブラッドフォールン,shalltear bloodfallen
シャマル,shamal
巫恋,shamare (arknights)
射命丸文（東方Project）,shameimaru aya
射命丸文（東方Project）,shameimaru aya (newsboy)
シャンプー,shampoo (ranma 1/2)
シャナ,shana
上海人偶（東方Project）,shanghai doll
シャンティ,shantae
シャロン（ファイアーエムブレム）,sharena (fire emblem)
ガブットボンプ,sharkboo (zenless zone zero)
サナ（トレーナー）,shauna (pokemon)
阿消,shaw (arknights)
シェイミ,shaymin
She・Hulk（Marvel）,she-hulk (marvel)
シェフィールド（アズールレーン）,sheffield (azur lane)
Sheffield（艦隊これくしょん）,sheffield (kancolle)
Shego（Kim・Possible）,shego (kim possible)
Shenhe（Frostflower・Dew）（原神）,shenhe (frostflower dew) (genshin impact)
申鶴（原神）,shenhe (genshin impact)
Shenhua（ブラック・Lagoon）,shenhua (black lagoon)
シャーロック・シェリンフォード,sherlock shellingford
シェリル・ノーム,sheryl nome
司波深雪,shiba miyuki
澁谷かのん,shibuya kanon
涩谷凛（アイドルマスター シンデレラガールズ）,shibuya rin
枝垂ほたる,shidare hotaru
獅堂光,shidou hikaru
紫藤イリナ,shidou irina
時雨（アズールレーン）,shigure (azur lane)
時雨（ブルーアーカイブ）,shigure (blue archive)
時雨（ブルーアーカイブ）,shigure (hot spring) (blue archive)
時雨（艦隊これくしょん）,shigure (kancolle)
時雨亜沙,shigure asa
時雨改三（艦隊これくしょん）,shigure kai san (kancolle)
時雨改三（水着）（艦隊これくしょん）,shigure kai san (swimsuit) (kancolle)
しぐれうい,shigure ui (vtuber)
しぐれうい（9さい）,shigure ui (vtuber) (young)
四楓院夜一,shihouin yoruichi
椎名真昼,shiina mahiru (otonari no tenshi-sama)
椎名ましろ,shiina mashiro
椎名真由理（STEINS;GATE）,shiina mayuri
椎名法子（アイドルマスター シンデレラガールズ）,shiina noriko
椎名立希（BanG Dream!）,shiina taki
椎名唯華,shiina yuika
Shijou・Takane,shijou takane
鹿野院平蔵,shikanoin heizou
四季映姫（東方Project）,shiki eiki
四季ナツメ,shiki natsume
敷波（艦隊これくしょん）,shikinami (kancolle)
志摩リン,shima rin
島原エレナ,shimabara elena
島田愛里寿（ガールズ＆パンツァー）,shimada arisu
島田千代（ガールズ＆パンツァー）,shimada chiyo
島風（アズールレーン）,shimakaze (azur lane)
島風（艦隊これくしょん）,shimakaze (kancolle)
島村抱月,shimamura hougetsu
島村卯月（アイドルマスター シンデレラガールズ）,shimamura uzuki
Shimura・Shinpachi（Gin・Tama）,shimura shinpachi (gin tama)
霜霧（艦隊これくしょん）,shimushu (kancolle)
神鹰（艦隊これくしょん）,shin'you (kancolle)
信浓（アズールレーン）,shinano (azur lane)
真宮寺さくら,shinguuji sakura
死に神ちゃん,shinigami (rain code)
シャイニング,shining (arknights)
Shinjou・Akane,shinjou akane
神綺（東方Project）,shinki (touhou)
真紅,shinku
四宮ひまわり,shinomiya himawari
四宮かぐや,shinomiya kaguya
紫宮るな,shinomiya runa
東雲彰人,shinonome akito
東雲絵名（プロジェクトセカイ）,shinonome ena
篠ノ之箒,shinonono houki
筱沢広（アイドルマスター）,shinosawa hiro
信州丸（艦隊これくしょん）,shinshuu maru (kancolle)
潮留美海,shiodome miuna
盐子（ホロライブ）,shiokko (murasaki shion)
ハム子,shiomi kotone
盐见周子（アイドルマスター シンデレラガールズ）,shiomi syuko
シオリ,shiori (princess connect!)
シオリ・ノヴェラ,shiori novella
潮田渚,shiota nagisa
白井黒子,shirai kuroko
白井夢結,shirai yuyu
白石杏（プロジェクトセカイ）,shiraishi an
白石袖（アイドルマスター ミリオンライブ！）,shiraishi tsumugi
Shiraishi・Yoshitake（Golden・Kamuy）,shiraishi yoshitake (golden kamuy)
白上吹雪（ホロライブ）,shirakami fubuki
白上吹雪（ホロライブ）,shirakami fubuki (aristocrat kei)
白上吹雪（ホロライブ）,shirakami fubuki (fubukitek)
白上吹雪（部屋着）（ホロライブ）,shirakami fubuki (loungewear)
白上吹雪（ホロライブ）,shirakami fubuki (street)
不知火（艦隊これくしょん）,shiranui (kancolle)
不知火芙蕾雅（ホロライブ）,shiranui flare
不知火芙蕾雅（初期衣装）（ホロライブ）,shiranui flare (1st costume)
不知火芙蕾雅（ホロライブ）,shiranui flare (old design)
不知火芙蕾雅（ホロライブ）,shiranui flare (street)
不知火舞,shiranui mai
白鹭千聖（BanG Dream!）,shirasagi chisato
白坂小梅（アイドルマスター シンデレラガールズ）,shirasaka koume
白瀬咲耶（アイドルマスター シャイニーカラーズ）,shirase sakuya
白露（艦隊これくしょん）,shiratsuyu (kancolle)
白雪（艦隊これくしょん）,shirayuki (kancolle)
雪姫（プリキュア）,shirayuki hime (hasky)
白雪みぞれ,shirayuki mizore
白雪恋,shirayuki ren
白雪巴,shirayuki tomoe
シャーリー・フェネット,shirley fenette
白（NGNL）,shiro (no game no life)
白鐘直斗,shirogane naoto
白銀ノエル,shirogane noel
白銀ノエル（私服衣装）,shirogane noel (casual)
白銀ノエル（水着）,shirogane noel (summer 2020)
白銀つむぎ,shirogane tsumugi
白金燐子（BanG Dream!）,shirokane rinko
白子（ブルーアーカイブ）,shiroko (blue archive)
白子（ブルーアーカイブ）,shiroko (cycling) (blue archive)
白子（水着）（ブルーアーカイブ）,shiroko (swimsuit) (blue archive)
砂狼クロコ,shiroko terror (blue archive)
獅子王クリス,shishio chris
Shishio・Chris（初期衣装）,shishio chris (1st costume)
獅白牡丹（ホロライブ）,shishiro botan
獅白牡丹（初期衣装）（ホロライブ）,shishiro botan (1st costume)
獅白牡丹（ホロライブ）,shishiro botan (button-down)
獅白牡丹（私服）（ホロライブ）,shishiro botan (casual)
黒巫鳥（東方Project）,shitodo kuroji
フウカ,shiver (splatoon)
静香凛（アイドルマスター シャイニーカラーズ）,shizuka rin (1st costume)
静子（ブルーアーカイブ）,shizuko (blue archive)
静子（水着）（ブルーアーカイブ）,shizuko (swimsuit) (blue archive)
シズク,shizuku murasaki
シズナ・レム・ミスルギ,shizuna rem misurugi
ハシビロコウ（けものフレンズ）,shoebill (kemono friends)
食蜂操祈,shokuhou misaki
祥凤（艦隊これくしょん）,shouhou (kancolle)
翔鶴（アズールレーン）,shoukaku (azur lane)
翔鶴（艦隊これくしょん）,shoukaku (kancolle)
黍,shu (arknights)
Shu・Yamino,shu yamino
シュルク,shulk (xenoblade)
瞬（ブルーアーカイブ）,shun (blue archive)
修羅（ブルーアーカイブ）,shuro (blue archive)
酒呑童子（Fate）,shuten douji (fate)
酒呑童子（ハロウィンキャスター）（Fate）,shuten douji (halloween caster) (fate)
Shylily,shylily
シマリス（けものフレンズ）,siberian chipmunk (kemono friends)
シデロカ（アークナイツ）,sideroca (arknights)
ジーク（Fate）,sieg (fate)
シージ,siege (arknights)
Sigewinne（原神）,sigewinne (genshin impact)
Signora（原神）,signora (genshin impact)
西格娜姆（魔法少女リリカルなのは）,signum
赫默,silence (arknights)
サイレンススズカ（ウマ娘）,silence suzuka (umamusume)
シリカ,silica
Silica（Sao・Alo）,silica (sao-alo)
シルヴァ（グラブル）,silva (granblue fantasy)
ギンギツネ,silver fox (kemono friends)
銀狼（崩壊：スターレイル）,silver wolf (honkai  star rail)
Silvervale,silvervale
Simba（Lion・King）,simba (the lion king)
シモン,simon (ttgl)
Sinclair（Project Moon）,sinclair (project moon)
シノン,sinon
ケットシノン,sinon (sao-alo)
Sion・Eltnam（Type・Moon）,sion eltnam (type-moon)
シオン・エルトナム・アトラシア,sion eltnam atlasia
西琳,sirin
天狼星（アズールレーン）,sirius (azur lane)
天狼星（アズールレーン）,sirius (azure horizons) (azur lane)
天狼星（アズールレーン）,sirius (scorching-hot seirios) (azur lane)
シリウスシンボリ（ウマ娘）,sirius symboli (umamusume)
シスター・クレア,sister claire
シトナイ（Fate）,sitonai (fate)
蒂蒂,skadi (arknights)
Skadi（Waverider）（アークナイツ）,skadi (waverider) (arknights)
濁心スカジ,skadi the corrupting heart (arknights)
Skadi・Corrupting・Heart（Sublimation）（アークナイツ）,skadi the corrupting heart (sublimation) (arknights)
スカイハイ,sky high (tiger & bunny)
閃刀姫─レイ,sky striker ace - raye
天火,skyfire (arknights)
フウロ,skyla (pokemon)
スレイン・トロイヤード,slaine troyard
スライム（DQ）,slime (dragon quest)
コツメカワウソ（けものフレンズ）,small-clawed otter (kemono friends)
スマートファルコン（ウマ娘）,smart falcon (umamusume)
スモーカー,smoker (one piece)
ツタージャ,snivy
カビゴン（ポケモン）,snorlax (pokemon)
スノーホワイト（勝利の女神:NIKKE）,snow white (nikke)
メッソン,sobble
ソシエ,societte (granblue fantasy)
ソーダ（勝利の女神:NIKKE）,soda (nikke)
苏我屠自古（東方Project）,soga no tojiko
ソル=バッドガイ,sol badguy
Solaire・Astora（Dark・Souls）,solaire of astora (dark souls)
Soldier・76（Overwatch）,soldier  76 (overwatch)
ソルガレオ（ポケモン）,solgaleo (pokemon)
ソリッド・Snake（メタル・ギア）,solid snake (metal gear)
ソーマ・ピーリス,soma peries
ソラ,sommie (fire emblem)
孫悟飯,son gohan
孫悟空,son goku
Sona（リーグ・オブ・レジェンド）,sona (league of legends)
ソニア（ポケモン）,sonia (pokemon)
ソニア・ネヴァーマインド,sonia nevermind
ソニック,sonic the hedgehog
園田智代子（アイドルマスター）,sonoda chiyoko
園田海未（ラブライブ！）,sonoda umi
園崎魅音,sonozaki mion
園崎詩音,sonozaki shion
孫策伯符,sonsaku hakufu
ソーニャ,sonya (kill me baby)
ソフィーヤ,sophia (fire emblem)
ソフィ（TOG）,sophie (tales)
ソフィー・ノイエンミュラー,sophie neuenmuller
ソフィーティア,sophitia alexandra
空,sora (arknights)
空（ブルーアーカイブ）,sora (blue archive)
ソラ,sora (kingdom hearts)
空銀子,sora ginko
ソラ・ハレワタール,sora harewataru
Soraka（リーグ・オブ・レジェンド）,soraka (league of legends)
空門蒼,sorakado ao
ソーサレス,sorceress (dragon's crown)
セネリオ,soren (fire emblem)
ソティス,sothis (fire emblem)
蒼龍（艦隊これくしょん）,souryuu (kancolle)
惣流・アスカ・ラングレー,souryuu asuka langley
蒼星石,souseiseki
南达科他（アズールレーン）,south dakota (azur lane)
南达科他（艦隊これくしょん）,south dakota (kancolle)
ロヴィーノ・ヴァルガス,southern italy (hetalia)
ミナミコアリクイ（けものフレンズ）,southern tamandua (kemono friends)
スペース・エレシュキガル（Fate）,space ereshkigal (fate)
スペース・イシュタル（Fate）,space ishtar (fate)
花火（崩壊：スターレイル）,sparkle (honkai  star rail)
SPAS-12（ドールズフロントライン）,spas-12 (girls' frontline)
スペシャルウィーク（ウマ娘）,special week (umamusume)
スペクター,specter (arknights)
帰溟スペクター（アークナイツ）,specter the unchained (arknights)
スパイダーグウェン,spider-gwen
スパイダーマン,spider-man
スパイダーマン（Miles・Morales・Ver）,spider-man (miles morales ver)
ニャオハ,sprigatito
春田,springfield (girls' frontline)
スパイロ,spyro
スコール・レオンハート,squall leonhart
スクイレル・ガール,squirrel girl (marvel)
ゼニガメ,squirtle
Ssrb（Shishiro・Botan）,ssrb (shishiro botan)
St・Ar・15（ドールズフロントライン）,st ar-15 (girls' frontline)
聖路易斯（アズールレーン）,st. louis (azur lane)
聖路易斯（アズールレーン）,st. louis (luxurious wheels) (azur lane)
星藍宝石（東方Project）,star sapphire
Starfire（DC）,starfire (dc)
史塔克（葬送のフリーレン）,stark (sousou no frieren)
スタースクリーム,starscream
ステラ・ユニベル,stella unibell
星（崩壊：スターレイル）,stelle (honkai  star rail)
スティーブ・ロジャース,steve rogers
ツワブキ・ダイゴ,steven stone
ステンノ（Fate）,stheno (fate)
スティルインラブ（ウマ娘）,still in love (umamusume)
アナーキー・ストッキング,stocking (psg)
ストーム,storm (x-men)
Stormtrooper（スター・ウォーズ）,stormtrooper (star wars)
ストレリチア,strelizia
ストレングス,strength (black rock shooter)
スツルム,sturm (granblue fantasy)
スバルドダック,subaru duck
スバル・ナカジマ,subaru nakajima
スクロース（原神）,sucrose (genshin impact)
スーシィ・マンババラン,sucy manbavaran
杉元佐一,sugimoto saichi
杉浦綾乃（ゆるゆり）,sugiura ayano
碎蜂（BLEACH）,sui-feng
スイクン,suicune
水銀燈,suigintou
翠星石,suiseiseki
女霸SMG（ブルーアーカイブ）,sukeban (smg) (blue archive)
すこん部,sukonbu (shirakami fubuki)
健屋花那,sukoya kana
宿儺神明丸（東方Project）,sukuna shinmyoumaru
スレッタ・マーキュリー,suletta mercury
皇藍華,sumeragi aika
スメラギ・李・ノリエガ,sumeragi lee noriega
砂塚晶（アイドルマスター シャイニーカラーズ）,sunazuka akira
Sunday（崩壊：スターレイル）,sunday (honkai  star rail)
Sung・Jin・Woo,sung jin-woo
Sunny（OMORI）,sunny (omori)
サニーミルク,sunny milk
周央サンゴ（VTuber）,suo sango
Suomi（ドールズフロントライン）,suomi (girls' frontline)
周防美琴,suou mikoto (school rumble)
周防桃子（アイドルマスター）,suou momoko
周防パトラ,suou patra
蘇芳・パヴリチェンコ,suou pavlichenko
周防有希,suou yuki
スーパークリーク（ウマ娘）,super creek (umamusume)
すーぱーぽちゃ子,super pochaco
超级水兵月（美少女戦士セーラームーン）,super sailor moon
Super・Sass（ドールズフロントライン）,super sass (girls' frontline)
すーぱーそに子,super sonico
カタカケフウチョウ（けものフレンズ）,superb bird-of-paradise (kemono friends)
スーパーガール,supergirl
スーパーマン,superman
补给站公主（艦隊これくしょん）,supply depot princess
Surintendante・Chevalmarin,surintendante chevalmarin
スルト,surtr (arknights)
Surtr（Colorful・Wonderland）（アークナイツ）,surtr (colorful wonderland) (arknights)
Surtr（Liberte・Echec）（アークナイツ）,surtr (liberte echec) (arknights)
Surtr's・Golem（アークナイツ）,surtr's golem (arknights)
Sushang（崩壊：スターレイル）,sushang (honkai  star rail)
ススーロ,sussurro (arknights)
Sussurro（夏の花弁）（アークナイツ）,sussurro (summer flower) (arknights)
スー（モンスター娘のいる日常）,suu (monster musume)
SZ姉貴,suzu (cookie)
鈴原るる,suzuhara lulu
鈴原るる（通常）,suzuhara lulu (1st costume)
鈴鹿御前（Fate）,suzuka gozen (fate)
涼風（艦隊これくしょん）,suzukaze (kancolle)
涼風青葉,suzukaze aoba
鈴木羽那（アイドルマスター）,suzuki hana
涼宮春日（涼宮ハルヒの憂鬱）,suzumiya haruhi
涼宮ハルヒコ,suzumiya haruhiko
涼村珊瑚（プリキュア）,suzumura sango
鈴鳴雫（オリジナル）,suzunari shizuku
スズラン,suzuran (arknights)
Suzuran（Spring・Praise）（アークナイツ）,suzuran (spring praise) (arknights)
Suzuran（Yukibare）（アークナイツ）,suzuran (yukibare) (arknights)
涼月（艦隊これくしょん）,suzutsuki (kancolle)
鈴谷（艦隊これくしょん）,suzuya (kancolle)
鈴谷改二（艦隊これくしょん）,suzuya kai ni (kancolle)
Svd（ドールズフロントライン）,svd (girls' frontline)
チルット,swablu
ラグラージ（ポケモン）,swampert (pokemon)
スワンナ,swanna
スイープトウショウ（ウマ娘）,sweep tosho (umamusume)
スワイヤー,swire (arknights)
剣の乙女,sword maiden
シルフィエット,sylphiette (mushoku tensei)
ニンフィア,sylveon
シルヴィ（奴隷との生活）,sylvie (dorei to no seikatsu)
シンボリクリスエス（ウマ娘）,symboli kris s (umamusume)
シンボリルドルフ（ウマ娘）,symboli rudolf (umamusume)
シンメトラ,symmetra (overwatch)
シンドラ,syndra
Syuen（NIKKE）,syuen (nikke)
T-elos,t-elos
T提督（艦隊これくしょん）,t-head admiral
T教官（艦隊これくしょん）,t-head trainer
トヘッド,t-head trainer (umamusume)
テイエムオペラオー（ウマ娘）,t.m. opera o (umamusume)
Ta级戦艦（艦隊これくしょん）,ta-class battleship
橘愛麗丝（アイドルマスター シンデレラガールズ）,tachibana arisu
立花響,tachibana hibiki (symphogear)
Tachibana・Hinano,tachibana hinano
立華かなで,tachibana kanade
橘美也,tachibana miya
橘桃花（オリジナル）,tachibana momoka (bubukka)
立花瀧,tachibana taki
立川絢香,tachikawa ayaka
太刀川ミミ,tachikawa mimi
多田李衣菜（アイドルマスター シンデレラガールズ）,tada riina
只野仁人,tadano hitohito
大鲸（艦隊これくしょん）,taigei (kancolle)
大凤（アズールレーン）,taihou (azur lane)
大凤（艦隊これくしょん）,taihou (kancolle)
大凤（アズールレーン）,taihou (seaside daydreams) (azur lane)
大凤（アズールレーン）,taihou (sweet time after school) (azur lane)
大凤改（艦隊これくしょん）,taihou kai (kancolle)
タイキシャトル（ウマ娘）,taiki shuttle (umamusume)
Tailless（Zenless・Zone・Zero）,tailless (zenless zone zero)
テイルス,tails (sonic)
田井中律（けいおん！）,tainaka ritsu
Taiwan（Hetalia）,taiwan (hetalia)
鹰富士茄子（アイドルマスター シンデレラガールズ）,takafuji kako
高垣楓,takagaki kaede
高木さんめ,takagi-san
高鴨穏乃,takakamo shizuno
高倉陽毬,takakura himari
高町奈葉（魔法少女リリカルなのは）,takamachi nanoha
エクシードモード,takamachi nanoha (exceed mode)
高巻杏,takamaki anne
高松灯（BanG Dream!）,takamatsu tomori
高海千歌,takami chika
鷹宮リオン,takamiya rion
高森藍子（アイドルマスター シンデレラガールズ）,takamori aiko
高波（艦隊これくしょん）,takanami (kancolle)
小鳥遊キアラ,takanashi kiara
小鳥遊キアラ（通常）,takanashi kiara (1st costume)
Takanashi・Kiara（私服）,takanashi kiara (casual)
Takanashi・Kiara（Fever・夜）,takanashi kiara (fever night)
小鳥遊六花,takanashi rikka
高根（ブルーアーカイブ）,takane (blue archive)
鹰峰蕗（ホロライブ）,takane lui
高嶺愛花,takane manaka
タカオ（蒼き鋼のアルペジオ）,takao (aoki hagane no arpeggio)
高雄（アズールレーン）,takao (azur lane)
高雄（アズールレーン）,takao (beach rhapsody) (azur lane)
高雄（アズールレーン）,takao (full throttle charmer) (azur lane)
高雄（艦隊これくしょん）,takao (kancolle)
高良美幸（らき☆すた）,takara miyuki
宝多六花,takarada rikka
高咲侑,takasaki yu
高槻弥生（アイドルマスター）,takatsuki yayoi
高山春香,takayama haruka
高山沙代子（アイドルマスター）,takayama sayoko
岳羽ゆかり,takeba yukari
武部沙織（ガールズ＆パンツァー）,takebe saori
Takeda・Harumi（Shiromanta）,takeda harumi (shiromanta)
竹井久,takei hisa
たけみたえ,takemi tae
武之内空,takenouchi sora
滝本ひふみ,takimoto hifumi
滝沢あすか,takizawa asuka
章魚たん（VTuber）,takodachi (ninomae ina'nis)
タコゾネス,takozonesu
タクミ（FEif）,takumi (fire emblem)
塔露拉,talulah (arknights)
玉（艦隊これくしょん）,tama (kancolle)
玉田環（ガールズ＆パンツァー）,tamada tamaki
環いろは,tamaki iroha
環古達,tamaki kotatsu
環忧（魔法少女まどか☆マギカ）,tamaki ui
玉藻（Fate）,tamamo (fate)
タマモキャット（Fate）,tamamo cat (fate)
タマモキャット（第一再臨）（Fate）,tamamo cat (first ascension) (fate)
タマモキャット（第二再臨）（Fate）,tamamo cat (second ascension) (fate)
タマモキャット（第三再臨）（Fate）,tamamo cat (third ascension) (fate)
タマモクロス（ウマ娘）,tamamo cross (umamusume)
玉藻の前（Fate/EXTRA）,tamamo no mae (fate/extra)
玉藻の前（春の私服）（Fate）,tamamo no mae (spring casual) (fate)
玉藻前（Fate）,tamamo no mae (swimsuit lancer) (fate)
グンゾウ,tamamura gunzo
玉造美須丸（東方Project）,tamatsukuri misumaru
Tamura・Yuri（Watashi・Ga・Motenai・の・Wa・Dou・Kangaetemo・Omaera・Ga・Warui!）,tamura yuri (watashi ga motenai no wa dou kangaetemo omaera ga warui!)
ターナ,tana (fire emblem)
田中琴葉（アイドルマスター ミリオンライブ！）,tanaka kotoha
田中真子,tanaka mako
田中摩美美（アイドルマスター）,tanaka mamimi
Tanba・Akari,tanba akari
種村小依,tanemura koyori
種島ぽぷら,taneshima popura
唐可可,tang keke
谷風（艦隊これくしょん）,tanikaze (kancolle)
タニノギムレット（ウマ娘）,tanino gimlet (umamusume)
日焼けしたチルノ,tanned cirno
TAR-21（ドールズフロントライン）,tar-21 (girls' frontline)
褪せ人,tarnished (elden ring)
タルタリヤ（原神）,tartaglia (genshin impact)
塔什干（アズールレーン）,tashkent (azur lane)
塔什干（艦隊これくしょん）,tashkent (kancolle)
多多良小伞（東方Project）,tatara kogasa
館林桜子（オリジナル）,tatebayashi sakurako
立神青（プリキュア）,tategami aoi
楯山文乃,tateyama ayano
戦慄のタツマキ,tatsumaki
巽完二,tatsumi kanji
龍田（艦隊これくしょん）,tatsuta (kancolle)
龍田改二（艦隊これくしょん）,tatsuta kai ni (kancolle)
多由也（NARUTO）,tayuya (naruto)
ティアナ・ランスター,teana lanster
Tear・Grants（テイルズ オブ ジ アビス）,tear grants (tales of abyss)
天々座理世,tedeza rize
丁礼田舞（東方Project）,teireida mai
テレサ・テスタロッサ,teletha testarossa
手鞠（NARUTO）,temari (naruto)
天道あかね,tendou akane
天堂真矢,tendou maya
天上ウテナ,tenjou utena
天上院明日香,tenjouin asuka
天火人千夜莉（東方Project）,tenkajin chiyari
天空橋朋花（アイドルマスター ミリオンライブ！）,tenkubashi tomoka
天弓千亦（東方Project）,tenkyuu chimata
天马咲希（プロジェクトセカイ）,tenma saki
天马司（プロジェクトセカイ）,tenma tsukasa
天王星うずめ,tennouboshi uzume
天王寺璃奈（ラブライブ！）,tennouji rina (love live!)
テノチティトラン（Fate）,tenochtitlan (fate)
テノチティトラン（第二再臨）（Fate）,tenochtitlan (second ascension) (fate)
天龍（艦隊これくしょん）,tenryuu (kancolle)
天龍（水着）（艦隊これくしょん）,tenryuu (swimsuit) (kancolle)
天龍改二（艦隊これくしょん）,tenryuu kai ni (kancolle)
天天（NARUTO）,tenten (naruto)
ポカブ,tepig
テキーラ（アークナイツ）,tequila (arknights)
ティナ・ブランフォード,terra branford
照美冥（NARUTO）,terumi mei (naruto)
照月（艦隊これくしょん）,teruzuki (kancolle)
テスタメント,testament (guilty gear)
Texas（アークナイツ）,texas (arknights)
Texas（Willpower）（アークナイツ）,texas (willpower) (arknights)
Texas（Winter・Messenger）（アークナイツ）,texas (winter messenger) (arknights)
血掟テキサス,texas the omertosa (arknights)
サーリャ,tharja (fire emblem)
Herta（崩壊：スターレイル）,the herta (honkai  star rail)
Mandalorian（スター・ウォーズ）,the mandalorian (star wars)
Theodore・Riddle,theodore riddle
テレジア（アークナイツ）,theresa (arknights)
テレサ・アポカリプス,theresa apocalypse
月下の抱擁,theresa apocalypse (luna kindred)
Theresa・Apocalypse（Lunar・Vow・Crimson・Love）,theresa apocalypse (lunar vow  crimson love)
テレサ・アポカリプス（通常）,theresa apocalypse (valkyrie pledge)
シスル,thistle (dungeon meshi)
トーマ,thoma (genshin impact)
マイティ・ソー,thor (marvel)
棘刺,thorns (arknights)
サラーサ,threo (granblue fantasy)
スレッシュ,thresh (league of legends)
スルーズ（Fate）,thrud (fate)
Thunder（ドールズフロントライン）,thunder (girls' frontline)
ティアマト（Fate）,tiamat (fate)
蒋麗華,tianzi
ティア・ハリベル（BLEACH）,tier harribel (bleach)
ティエリア,tieria erde
ティファ・ロックハート,tifa lockhart
Tifa・Lockhart（Refined・Dress）,tifa lockhart (refined dress)
シャインフリッパー,tifa lockhart (shining spirit)
ティファニア・ウエストウッド,tiffania westwood
Tighnari（原神）,tighnari (genshin impact)
Tiki（大人）（ファイアーエムブレム）,tiki (adult) (fire emblem)
チキ,tiki (fire emblem)
Tiki（幼少期）（ファイアーエムブレム）,tiki (young) (fire emblem)
ミスティラ,timerra (fire emblem)
ティナ・アームストロング,tina armstrong
Tingyun（崩壊：スターレイル）,tingyun (honkai  star rail)
ティオ・プラトー,tio plato
ティファレト,tiphereth a (project moon)
ティッピー,tippy (gochiusa)
提爾皮茨（アズールレーン）,tirpitz (azur lane)
